KPN,Description,Type,Cost
201170,"RCIELEV-1387-A WINDOW, Smoked translucent plate 3.75x6.5x.25",PLATES,35.38
201167,1 SURF MNT MINI LEAD WHT,CONTACTS,4.79
201166,"Altronix RB30 SPDT Relay Module, 12 or 24VDC",POWER,1.72
201165,4MP IP VARIFOCAL DOME CAMERA,CCTV,209
201163,YELLOW KEY TO RESET STOPPER STATION NO COVER CUSTO,BUTTONS,43.99
201162,"Antaira LNP-800AGH-24-T, 8 Port PoE+ Unmng Switch, 12-36VDC",COMM,600.26
201161,"Axis P1445-LE, 2MP IP Bullet Camera",VIDCAMERA,540.89
201160,"Axis P5635-E, PTZ 360° pan, HDTV 1080p, 30x zoom, IP",VIDCAMERA,1560.31
201159,921 MULTICLS SE RPK40 921PTNNEK00000 ADI #: HU-921PTNNK0,READERS,411.39
201158,"Avigilon POE-INJ2-PLUS-NA, Indoor 1-Port POE+ Injector",POWER,45.62
201157,*Discontinued product,COMM,108.5
201155,QUAD PIR W/ LR LENS N/ C-N/ O  PU-PA470L,SENSORS,94.99
201154,"Antaira SFP-S10-T, 1 Gigabit Fiber SFP Transceiver",COMM,54.78
201153,"Antaira FCU-2805SFP, 10/100/1000TX-1000SX/LX Media Converter",COMM,98.13
201152,"Antaira FCU-RACK16-AC, 16-Slot Universal Media Converter Rac",COMM,310.35
201151,"Antaira FCU-3002A-SFP,10/100/1000T-1000SX/LX Media Converter",COMM,93.86
201149,CV155 4MP Indoor Micro Dome - No Audio,CCTV,300
201147,"Antaira LNX-1002C-SFP, 10P Switch, 8P 10/100Tx, 2P Gigabit",COMM,297.74
201146,1PORT CHANNEL COAX EXTENDER,COMM,219.99
201145,Salto Sallis - Electric Escutcheon Mifare A9668A62IM38S,LOCKS,420.75
201144,P3807PVE/ 8MP/ DOM/ 180DEG/ IP67,VIDCAMERA,1052.57
201143,SAFE ZMM-II SRDR Reader Panel Only,PLATES,84.07
201140,UHF EXTERIOR TAG STICKER 25PK,SPECIAL,115.99
201139,"Avigilon IRPTZ-MNT-WALL1, H4 IR PTZ Pendant Wall Mnt Adapt",CCTV,67.7
201138,"Avigilon POE-INJ2-95W-NA, Indoor 1-Port Gigabit PoE, 95W",POWER,242.11
201137,"Avigilon 3.0C-H4A-BO2-IR-B, 3MP, WDR, 9-22mm Bullet",VIDCAMERA,576.02
201136,"Avigilon 2.0C-H4IRPTZ-DP30-WP, 2MP H4 IR PTZ, IK10, IP66",VIDCAMERA,2133.62
201135,UPASS REACH READER UHF 900MHZ,READERS,1403.64
201134,7 COLOR STANDARD SET,PANELS,334.99
201133,*Discontinued product,LOCKS,406.24
201132,"Northern VF550IRMP2, 2MP 5-50MM IR Auto-Iris Lens, F1.6",CCTV,4.25
